"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","684","testFeeLoading[Humanode]","","Fri Aug 29 00:43:38 UTC 2025","passed","Fri Aug 29 00:43:39 UTC 2025","","io.novafoundation.nova.balances.BalancesIntegrationTest","io.novafoundation.nova.balances.BalancesIntegrationTest","testFeeLoading[Humanode]"
"","2167","testBalancesLoading[Ternoa]","","Fri Aug 29 00:38:56 UTC 2025","passed","Fri Aug 29 00:38:58 UTC 2025","","io.novafoundation.nova.balances.BalancesIntegrationTest","io.novafoundation.nova.balances.BalancesIntegrationTest","testBalancesLoading[Ternoa]"
"","2082","testBalancesLoading[Kreivo]","","Fri Aug 29 00:43:09 UTC 2025","passed","Fri Aug 29 00:43:11 UTC 2025","","io.novafoundation.nova.balances.BalancesIntegrationTest","io.novafoundation.nova.balances.BalancesIntegrationTest","testBalancesLoading[Kreivo]"
"","780","testFeeLoading[Westend]","","Fri Aug 29 00:36:50 UTC 2025","passed","Fri Aug 29 00:36:51 UTC 2025","","io.novafoundation.nova.balances.BalancesIntegrationTest","io.novafoundation.nova.balances.BalancesIntegrationTest","testFeeLoading[Westend]"
"","1719","testBalancesLoading[Aleph Zero Testnet]","","Fri Aug 29 00:38:42 UTC 2025","passed","Fri Aug 29 00:38:44 UTC 2025","","io.novafoundation.nova.balances.BalancesIntegrationTest","io.novafoundation.nova.balances.BalancesIntegrationTest","testBalancesLoading[Aleph Zero Testnet]"
"","33463","testFeeLoading[Tangle]","","Fri Aug 29 00:44:15 UTC 2025","passed","Fri Aug 29 00:44:48 UTC 2025","","io.novafoundation.nova.balances.BalancesIntegrationTest","io.novafoundation.nova.balances.BalancesIntegrationTest","testFeeLoading[Tangle]"
"","292","testFeeLoading[GIANT]","","Fri Aug 29 00:39:32 UTC 2025","passed","Fri Aug 29 00:39:32 UTC 2025","","io.novafoundation.nova.balances.BalancesIntegrationTest","io.novafoundation.nova.balances.BalancesIntegrationTest","testFeeLoading[GIANT]"
"","1276","testBalancesLoading[Frequency]","","Fri Aug 29 00:39:27 UTC 2025","passed","Fri Aug 29 00:39:28 UTC 2025","","io.novafoundation.nova.balances.BalancesIntegrationTest","io.novafoundation.nova.balances.BalancesIntegrationTest","testBalancesLoading[Frequency]"
"","2709","testBalancesLoading[Kusama People]","","Fri Aug 29 00:43:14 UTC 2025","passed","Fri Aug 29 00:43:17 UTC 2025","","io.novafoundation.nova.balances.BalancesIntegrationTest","io.novafoundation.nova.balances.BalancesIntegrationTest","testBalancesLoading[Kusama People]"
"","2060","testBalancesLoading[Kusama Coretime]","","Fri Aug 29 00:44:50 UTC 2025","passed","Fri Aug 29 00:44:52 UTC 2025","","io.novafoundation.nova.balances.BalancesIntegrationTest","io.novafoundation.nova.balances.BalancesIntegrationTest","testBalancesLoading[Kusama Coretime]"
"","2542","testBalancesLoading[Robonomics]","","Fri Aug 29 00:37:41 UTC 2025","passed","Fri Aug 29 00:37:44 UTC 2025","","io.novafoundation.nova.balances.BalancesIntegrationTest","io.novafoundation.nova.balances.BalancesIntegrationTest","testBalancesLoading[Robonomics]"
"","726","testFeeLoading[Cere]","","Fri Aug 29 00:43:21 UTC 2025","passed","Fri Aug 29 00:43:21 UTC 2025","","io.novafoundation.nova.balances.BalancesIntegrationTest","io.novafoundation.nova.balances.BalancesIntegrationTest","testFeeLoading[Cere]"
"","392","testFeeLoading[Moonriver]","","Fri Aug 29 00:37:02 UTC 2025","passed","Fri Aug 29 00:37:02 UTC 2025","","io.novafoundation.nova.balances.BalancesIntegrationTest","io.novafoundation.nova.balances.BalancesIntegrationTest","testFeeLoading[Moonriver]"
"","3436","testBalancesLoading[Bifrost]","","Fri Aug 29 00:37:02 UTC 2025","passed","Fri Aug 29 00:37:06 UTC 2025","","io.novafoundation.nova.balances.BalancesIntegrationTest","io.novafoundation.nova.balances.BalancesIntegrationTest","testBalancesLoading[Bifrost]"
"","2465","testBalancesLoading[Polymesh Mainnet]","","Fri Aug 29 00:38:59 UTC 2025","passed","Fri Aug 29 00:39:01 UTC 2025","","io.novafoundation.nova.balances.BalancesIntegrationTest","io.novafoundation.nova.balances.BalancesIntegrationTest","testBalancesLoading[Polymesh Mainnet]"
"","676","testFeeLoading[Moonbase Relay Testnet]","","Fri Aug 29 00:38:47 UTC 2025","passed","Fri Aug 29 00:38:48 UTC 2025","","io.novafoundation.nova.balances.BalancesIntegrationTest","io.novafoundation.nova.balances.BalancesIntegrationTest","testFeeLoading[Moonbase Relay Testnet]"
"","3187","testBalancesLoading[Edgeware]","","Fri Aug 29 00:37:09 UTC 2025","passed","Fri Aug 29 00:37:12 UTC 2025","","io.novafoundation.nova.balances.BalancesIntegrationTest","io.novafoundation.nova.balances.BalancesIntegrationTest","testBalancesLoading[Edgeware]"
"","3592","testBalancesLoading[Ajuna]","","Fri Aug 29 00:39:22 UTC 2025","passed","Fri Aug 29 00:39:25 UTC 2025","","io.novafoundation.nova.balances.BalancesIntegrationTest","io.novafoundation.nova.balances.BalancesIntegrationTest","testBalancesLoading[Ajuna]"
