"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1774","testBalancesLoading[3DPass]","","Mon Mar 03 08:27:52 GMT 2025","passed","Mon Mar 03 08:27:53 GMT 2025","","io.novafoundation.nova.balances.BalancesIntegrationTest","io.novafoundation.nova.balances.BalancesIntegrationTest","testBalancesLoading[3DPass]"
"","1605","testBalancesLoading[Integritee Parachain]","","Mon Mar 03 08:24:21 GMT 2025","passed","Mon Mar 03 08:24:23 GMT 2025","","io.novafoundation.nova.balances.BalancesIntegrationTest","io.novafoundation.nova.balances.BalancesIntegrationTest","testBalancesLoading[Integritee Parachain]"
"","708","testBalancesLoading[Bittensor]","","Mon Mar 03 08:28:46 GMT 2025","passed","Mon Mar 03 08:28:47 GMT 2025","","io.novafoundation.nova.balances.BalancesIntegrationTest","io.novafoundation.nova.balances.BalancesIntegrationTest","testBalancesLoading[Bittensor]"
"","476","testFeeLoading[Moonbase Alpha]","","Mon Mar 03 08:23:54 GMT 2025","passed","Mon Mar 03 08:23:55 GMT 2025","","io.novafoundation.nova.balances.BalancesIntegrationTest","io.novafoundation.nova.balances.BalancesIntegrationTest","testFeeLoading[Moonbase Alpha]"
"","1712","testBalancesLoading[InvArch]","","Mon Mar 03 08:28:24 GMT 2025","passed","Mon Mar 03 08:28:26 GMT 2025","","io.novafoundation.nova.balances.BalancesIntegrationTest","io.novafoundation.nova.balances.BalancesIntegrationTest","testBalancesLoading[InvArch]"
"","1440","testBalancesLoading[DAO IPCI]","","Mon Mar 03 08:27:39 GMT 2025","passed","Mon Mar 03 08:27:40 GMT 2025","","io.novafoundation.nova.balances.BalancesIntegrationTest","io.novafoundation.nova.balances.BalancesIntegrationTest","testBalancesLoading[DAO IPCI]"
"","822","testBalancesLoading[Polkadot Collectives]","","Mon Mar 03 08:28:08 GMT 2025","passed","Mon Mar 03 08:28:09 GMT 2025","","io.novafoundation.nova.balances.BalancesIntegrationTest","io.novafoundation.nova.balances.BalancesIntegrationTest","testBalancesLoading[Polkadot Collectives]"
"","2382","testBalancesLoading[Clover]","","Mon Mar 03 08:23:31 GMT 2025","passed","Mon Mar 03 08:23:33 GMT 2025","","io.novafoundation.nova.balances.BalancesIntegrationTest","io.novafoundation.nova.balances.BalancesIntegrationTest","testBalancesLoading[Clover]"
"","927","testFeeLoading[Moonbase Relay Testnet]","","Mon Mar 03 08:27:26 GMT 2025","passed","Mon Mar 03 08:27:26 GMT 2025","","io.novafoundation.nova.balances.BalancesIntegrationTest","io.novafoundation.nova.balances.BalancesIntegrationTest","testFeeLoading[Moonbase Relay Testnet]"
"","294","testFeeLoading[Calamari]","","Mon Mar 03 08:23:21 GMT 2025","passed","Mon Mar 03 08:23:21 GMT 2025","","io.novafoundation.nova.balances.BalancesIntegrationTest","io.novafoundation.nova.balances.BalancesIntegrationTest","testFeeLoading[Calamari]"
"","2014","testBalancesLoading[Westmint]","","Mon Mar 03 08:23:50 GMT 2025","passed","Mon Mar 03 08:23:52 GMT 2025","","io.novafoundation.nova.balances.BalancesIntegrationTest","io.novafoundation.nova.balances.BalancesIntegrationTest","testBalancesLoading[Westmint]"
"","907","testBalancesLoading[Edgeware]","","Mon Mar 03 08:23:17 GMT 2025","passed","Mon Mar 03 08:23:18 GMT 2025","","io.novafoundation.nova.balances.BalancesIntegrationTest","io.novafoundation.nova.balances.BalancesIntegrationTest","testBalancesLoading[Edgeware]"
"","978","testBalancesLoading[Amplitude]","","Mon Mar 03 08:27:33 GMT 2025","passed","Mon Mar 03 08:27:34 GMT 2025","","io.novafoundation.nova.balances.BalancesIntegrationTest","io.novafoundation.nova.balances.BalancesIntegrationTest","testBalancesLoading[Amplitude]"
"","902","testBalancesLoading[Encointer]","","Mon Mar 03 08:23:55 GMT 2025","passed","Mon Mar 03 08:23:56 GMT 2025","","io.novafoundation.nova.balances.BalancesIntegrationTest","io.novafoundation.nova.balances.BalancesIntegrationTest","testBalancesLoading[Encointer]"
"","297","testFeeLoading[GIANT]","","Mon Mar 03 08:28:06 GMT 2025","passed","Mon Mar 03 08:28:07 GMT 2025","","io.novafoundation.nova.balances.BalancesIntegrationTest","io.novafoundation.nova.balances.BalancesIntegrationTest","testFeeLoading[GIANT]"
"","2416","testBalancesLoading[DeepBrain]","","Mon Mar 03 08:29:08 GMT 2025","passed","Mon Mar 03 08:29:10 GMT 2025","","io.novafoundation.nova.balances.BalancesIntegrationTest","io.novafoundation.nova.balances.BalancesIntegrationTest","testBalancesLoading[DeepBrain]"
"","981","testFeeLoading[Litentry]","","Mon Mar 03 08:27:17 GMT 2025","passed","Mon Mar 03 08:27:18 GMT 2025","","io.novafoundation.nova.balances.BalancesIntegrationTest","io.novafoundation.nova.balances.BalancesIntegrationTest","testFeeLoading[Litentry]"
"","9218","testBalancesLoading[Nodle Parachain]","","Mon Mar 03 08:24:06 GMT 2025","passed","Mon Mar 03 08:24:15 GMT 2025","","io.novafoundation.nova.balances.BalancesIntegrationTest","io.novafoundation.nova.balances.BalancesIntegrationTest","testBalancesLoading[Nodle Parachain]"
"","339","testFeeLoading[Altair]","","Mon Mar 03 08:27:13 GMT 2025","passed","Mon Mar 03 08:27:13 GMT 2025","","io.novafoundation.nova.balances.BalancesIntegrationTest","io.novafoundation.nova.balances.BalancesIntegrationTest","testFeeLoading[Altair]"
"","898","testFeeLoading[Tangle]","","Mon Mar 03 08:29:13 GMT 2025","passed","Mon Mar 03 08:29:14 GMT 2025","","io.novafoundation.nova.balances.BalancesIntegrationTest","io.novafoundation.nova.balances.BalancesIntegrationTest","testFeeLoading[Tangle]"
"","2963","testBalancesLoading[Astar]","","Mon Mar 03 08:23:22 GMT 2025","passed","Mon Mar 03 08:23:25 GMT 2025","","io.novafoundation.nova.balances.BalancesIntegrationTest","io.novafoundation.nova.balances.BalancesIntegrationTest","testBalancesLoading[Astar]"
"","1778","testBalancesLoading[Ajuna]","","Mon Mar 03 08:27:54 GMT 2025","passed","Mon Mar 03 08:27:56 GMT 2025","","io.novafoundation.nova.balances.BalancesIntegrationTest","io.novafoundation.nova.balances.BalancesIntegrationTest","testBalancesLoading[Ajuna]"
"","242","testBalancesLoading[Polkadot]","","Mon Mar 03 08:22:56 GMT 2025","passed","Mon Mar 03 08:22:57 GMT 2025","","io.novafoundation.nova.balances.BalancesIntegrationTest","io.novafoundation.nova.balances.BalancesIntegrationTest","testBalancesLoading[Polkadot]"
"","1319","testFeeLoading[Clover]","","Mon Mar 03 08:23:33 GMT 2025","passed","Mon Mar 03 08:23:34 GMT 2025","","io.novafoundation.nova.balances.BalancesIntegrationTest","io.novafoundation.nova.balances.BalancesIntegrationTest","testFeeLoading[Clover]"
"","1048","testBalancesLoading[Hashed Network]","","Mon Mar 03 08:27:50 GMT 2025","passed","Mon Mar 03 08:27:51 GMT 2025","","io.novafoundation.nova.balances.BalancesIntegrationTest","io.novafoundation.nova.balances.BalancesIntegrationTest","testBalancesLoading[Hashed Network]"
"","717","testFeeLoading[Aleph Zero Testnet]","","Mon Mar 03 08:27:23 GMT 2025","passed","Mon Mar 03 08:27:24 GMT 2025","","io.novafoundation.nova.balances.BalancesIntegrationTest","io.novafoundation.nova.balances.BalancesIntegrationTest","testFeeLoading[Aleph Zero Testnet]"
"","513","testFeeLoading[Moonbeam]","","Mon Mar 03 08:23:10 GMT 2025","passed","Mon Mar 03 08:23:10 GMT 2025","","io.novafoundation.nova.balances.BalancesIntegrationTest","io.novafoundation.nova.balances.BalancesIntegrationTest","testFeeLoading[Moonbeam]"
"","998","testFeeLoading[Bajun]","","Mon Mar 03 08:27:30 GMT 2025","passed","Mon Mar 03 08:27:31 GMT 2025","","io.novafoundation.nova.balances.BalancesIntegrationTest","io.novafoundation.nova.balances.BalancesIntegrationTest","testFeeLoading[Bajun]"
"","3038","testBalancesLoading[XX network]","","Mon Mar 03 08:27:41 GMT 2025","passed","Mon Mar 03 08:27:44 GMT 2025","","io.novafoundation.nova.balances.BalancesIntegrationTest","io.novafoundation.nova.balances.BalancesIntegrationTest","testBalancesLoading[XX network]"
"","660","testBalancesLoading[Kusama Bridge Hub]","","Mon Mar 03 08:28:07 GMT 2025","passed","Mon Mar 03 08:28:07 GMT 2025","","io.novafoundation.nova.balances.BalancesIntegrationTest","io.novafoundation.nova.balances.BalancesIntegrationTest","testBalancesLoading[Kusama Bridge Hub]"
