"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2695","testBalancesLoading[Parallel]","","Wed Jan 08 00:32:01 GMT 2025","passed","Wed Jan 08 00:32:03 GMT 2025","","io.novafoundation.nova.balances.BalancesIntegrationTest","io.novafoundation.nova.balances.BalancesIntegrationTest","testBalancesLoading[Parallel]"
"","8237","testBalancesLoading[Bifrost]","","Wed Jan 08 00:31:13 GMT 2025","passed","Wed Jan 08 00:31:22 GMT 2025","","io.novafoundation.nova.balances.BalancesIntegrationTest","io.novafoundation.nova.balances.BalancesIntegrationTest","testBalancesLoading[Bifrost]"
"","1112","testFeeLoading[Enjin Relay]","","Wed Jan 08 00:38:00 GMT 2025","passed","Wed Jan 08 00:38:01 GMT 2025","","io.novafoundation.nova.balances.BalancesIntegrationTest","io.novafoundation.nova.balances.BalancesIntegrationTest","testFeeLoading[Enjin Relay]"
"","931","testFeeLoading[Cere]","","Wed Jan 08 00:38:18 GMT 2025","passed","Wed Jan 08 00:38:19 GMT 2025","","io.novafoundation.nova.balances.BalancesIntegrationTest","io.novafoundation.nova.balances.BalancesIntegrationTest","testFeeLoading[Cere]"
"","1960","testBalancesLoading[Statemine]","","Wed Jan 08 00:31:01 GMT 2025","passed","Wed Jan 08 00:31:03 GMT 2025","","io.novafoundation.nova.balances.BalancesIntegrationTest","io.novafoundation.nova.balances.BalancesIntegrationTest","testBalancesLoading[Statemine]"
"","433","testFeeLoading[Dock]","","Wed Jan 08 00:37:40 GMT 2025","passed","Wed Jan 08 00:37:41 GMT 2025","","io.novafoundation.nova.balances.BalancesIntegrationTest","io.novafoundation.nova.balances.BalancesIntegrationTest","testFeeLoading[Dock]"
"","2018","testBalancesLoading[Aventus]","","Wed Jan 08 00:36:58 GMT 2025","passed","Wed Jan 08 00:37:00 GMT 2025","","io.novafoundation.nova.balances.BalancesIntegrationTest","io.novafoundation.nova.balances.BalancesIntegrationTest","testBalancesLoading[Aventus]"
"","457","testFeeLoading[Edgeware]","","Wed Jan 08 00:31:25 GMT 2025","passed","Wed Jan 08 00:31:25 GMT 2025","","io.novafoundation.nova.balances.BalancesIntegrationTest","io.novafoundation.nova.balances.BalancesIntegrationTest","testFeeLoading[Edgeware]"
"","890","testBalancesLoading[Bittensor]","","Wed Jan 08 00:41:07 GMT 2025","passed","Wed Jan 08 00:41:08 GMT 2025","","io.novafoundation.nova.balances.BalancesIntegrationTest","io.novafoundation.nova.balances.BalancesIntegrationTest","testBalancesLoading[Bittensor]"
"","2294","testBalancesLoading[Moonbase Alpha]","","Wed Jan 08 00:32:23 GMT 2025","passed","Wed Jan 08 00:32:25 GMT 2025","","io.novafoundation.nova.balances.BalancesIntegrationTest","io.novafoundation.nova.balances.BalancesIntegrationTest","testBalancesLoading[Moonbase Alpha]"
