"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","959","testFeeLoading[XX network]","","Mon Apr 14 16:27:31 GMT 2025","passed","Mon Apr 14 16:27:32 GMT 2025","","io.novafoundation.nova.balances.BalancesIntegrationTest","io.novafoundation.nova.balances.BalancesIntegrationTest","testFeeLoading[XX network]"
"","1134","testBalancesLoading[Vara]","","Mon Apr 14 16:27:45 GMT 2025","passed","Mon Apr 14 16:27:46 GMT 2025","","io.novafoundation.nova.balances.BalancesIntegrationTest","io.novafoundation.nova.balances.BalancesIntegrationTest","testBalancesLoading[Vara]"
"","1280","testBalancesLoading[Moonbase Alpha]","","Mon Apr 14 16:26:18 GMT 2025","passed","Mon Apr 14 16:26:19 GMT 2025","","io.novafoundation.nova.balances.BalancesIntegrationTest","io.novafoundation.nova.balances.BalancesIntegrationTest","testBalancesLoading[Moonbase Alpha]"
"","2256","testBalancesLoading[Xode]","","Mon Apr 14 16:29:00 GMT 2025","passed","Mon Apr 14 16:29:02 GMT 2025","","io.novafoundation.nova.balances.BalancesIntegrationTest","io.novafoundation.nova.balances.BalancesIntegrationTest","testBalancesLoading[Xode]"
"","177","testFeeLoading[Aleph Zero Testnet]","","Mon Apr 14 16:27:05 GMT 2025","passed","Mon Apr 14 16:27:05 GMT 2025","","io.novafoundation.nova.balances.BalancesIntegrationTest","io.novafoundation.nova.balances.BalancesIntegrationTest","testFeeLoading[Aleph Zero Testnet]"
"","1170","testBalancesLoading[Moonbeam]","","Mon Apr 14 16:25:31 GMT 2025","passed","Mon Apr 14 16:25:32 GMT 2025","","io.novafoundation.nova.balances.BalancesIntegrationTest","io.novafoundation.nova.balances.BalancesIntegrationTest","testBalancesLoading[Moonbeam]"
"","843","testFeeLoading[DAO IPCI]","","Mon Apr 14 16:27:28 GMT 2025","passed","Mon Apr 14 16:27:29 GMT 2025","","io.novafoundation.nova.balances.BalancesIntegrationTest","io.novafoundation.nova.balances.BalancesIntegrationTest","testFeeLoading[DAO IPCI]"
"","286","testFeeLoading[Enjin Matrixchain]","","Mon Apr 14 16:28:04 GMT 2025","passed","Mon Apr 14 16:28:04 GMT 2025","","io.novafoundation.nova.balances.BalancesIntegrationTest","io.novafoundation.nova.balances.BalancesIntegrationTest","testFeeLoading[Enjin Matrixchain]"
"","1603","testBalancesLoading[Curio]","","Mon Apr 14 16:28:20 GMT 2025","passed","Mon Apr 14 16:28:22 GMT 2025","","io.novafoundation.nova.balances.BalancesIntegrationTest","io.novafoundation.nova.balances.BalancesIntegrationTest","testBalancesLoading[Curio]"
"","1226","testBalancesLoading[Polkadot Coretime]","","Mon Apr 14 16:29:12 GMT 2025","passed","Mon Apr 14 16:29:13 GMT 2025","","io.novafoundation.nova.balances.BalancesIntegrationTest","io.novafoundation.nova.balances.BalancesIntegrationTest","testBalancesLoading[Polkadot Coretime]"
"","1636","testBalancesLoading[Westmint]","","Mon Apr 14 16:26:16 GMT 2025","passed","Mon Apr 14 16:26:17 GMT 2025","","io.novafoundation.nova.balances.BalancesIntegrationTest","io.novafoundation.nova.balances.BalancesIntegrationTest","testBalancesLoading[Westmint]"
"","1335","testBalancesLoading[Humanode]","","Mon Apr 14 16:28:56 GMT 2025","passed","Mon Apr 14 16:28:58 GMT 2025","","io.novafoundation.nova.balances.BalancesIntegrationTest","io.novafoundation.nova.balances.BalancesIntegrationTest","testBalancesLoading[Humanode]"
"","718","testFeeLoading[Humanode]","","Mon Apr 14 16:28:58 GMT 2025","passed","Mon Apr 14 16:28:58 GMT 2025","","io.novafoundation.nova.balances.BalancesIntegrationTest","io.novafoundation.nova.balances.BalancesIntegrationTest","testFeeLoading[Humanode]"
"","1946","testBalancesLoading[DAO IPCI]","","Mon Apr 14 16:27:26 GMT 2025","passed","Mon Apr 14 16:27:28 GMT 2025","","io.novafoundation.nova.balances.BalancesIntegrationTest","io.novafoundation.nova.balances.BalancesIntegrationTest","testBalancesLoading[DAO IPCI]"
"","254","testFeeLoading[Enjin Relay]","","Mon Apr 14 16:28:20 GMT 2025","passed","Mon Apr 14 16:28:20 GMT 2025","","io.novafoundation.nova.balances.BalancesIntegrationTest","io.novafoundation.nova.balances.BalancesIntegrationTest","testFeeLoading[Enjin Relay]"
"","830","testBalancesLoading[GIANT]","","Mon Apr 14 16:27:47 GMT 2025","passed","Mon Apr 14 16:27:48 GMT 2025","","io.novafoundation.nova.balances.BalancesIntegrationTest","io.novafoundation.nova.balances.BalancesIntegrationTest","testBalancesLoading[GIANT]"
"","532","testFeeLoading[Encointer]","","Mon Apr 14 16:26:21 GMT 2025","passed","Mon Apr 14 16:26:21 GMT 2025","","io.novafoundation.nova.balances.BalancesIntegrationTest","io.novafoundation.nova.balances.BalancesIntegrationTest","testFeeLoading[Encointer]"
"","2349","testFeeLoading[Subsocial Parachain]","","Mon Apr 14 16:26:25 GMT 2025","passed","Mon Apr 14 16:26:27 GMT 2025","","io.novafoundation.nova.balances.BalancesIntegrationTest","io.novafoundation.nova.balances.BalancesIntegrationTest","testFeeLoading[Subsocial Parachain]"
"","614","testBalancesLoading[Aleph Zero Testnet]","","Mon Apr 14 16:27:05 GMT 2025","passed","Mon Apr 14 16:27:05 GMT 2025","","io.novafoundation.nova.balances.BalancesIntegrationTest","io.novafoundation.nova.balances.BalancesIntegrationTest","testBalancesLoading[Aleph Zero Testnet]"
"","1099","testFeeLoading[Statemint]","","Mon Apr 14 16:27:15 GMT 2025","passed","Mon Apr 14 16:27:16 GMT 2025","","io.novafoundation.nova.balances.BalancesIntegrationTest","io.novafoundation.nova.balances.BalancesIntegrationTest","testFeeLoading[Statemint]"
