"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1008","testFeeLoading[Manta]","","Mon Sep 22 16:31:21 UTC 2025","passed","Mon Sep 22 16:31:22 UTC 2025","","io.novafoundation.nova.balances.BalancesIntegrationTest","io.novafoundation.nova.balances.BalancesIntegrationTest","testFeeLoading[Manta]"
"","69514","testBalancesLoading[peaq]","","Mon Sep 22 16:32:25 UTC 2025","passed","Mon Sep 22 16:33:35 UTC 2025","","io.novafoundation.nova.balances.BalancesIntegrationTest","io.novafoundation.nova.balances.BalancesIntegrationTest","testBalancesLoading[peaq]"
"","2056","testBalancesLoading[Avail]","","Mon Sep 22 16:32:05 UTC 2025","passed","Mon Sep 22 16:32:07 UTC 2025","","io.novafoundation.nova.balances.BalancesIntegrationTest","io.novafoundation.nova.balances.BalancesIntegrationTest","testBalancesLoading[Avail]"
"","725","testFeeLoading[DENTNet]","","Mon Sep 22 16:32:11 UTC 2025","passed","Mon Sep 22 16:32:12 UTC 2025","","io.novafoundation.nova.balances.BalancesIntegrationTest","io.novafoundation.nova.balances.BalancesIntegrationTest","testFeeLoading[DENTNet]"
"","1690","testBalancesLoading[Humanode]","","Mon Sep 22 16:32:23 UTC 2025","passed","Mon Sep 22 16:32:24 UTC 2025","","io.novafoundation.nova.balances.BalancesIntegrationTest","io.novafoundation.nova.balances.BalancesIntegrationTest","testBalancesLoading[Humanode]"
"","902","testFeeLoading[Phala]","","Mon Sep 22 16:29:53 UTC 2025","passed","Mon Sep 22 16:29:54 UTC 2025","","io.novafoundation.nova.balances.BalancesIntegrationTest","io.novafoundation.nova.balances.BalancesIntegrationTest","testFeeLoading[Phala]"
"","979","testFeeLoading[XX network]","","Mon Sep 22 16:30:41 UTC 2025","passed","Mon Sep 22 16:30:42 UTC 2025","","io.novafoundation.nova.balances.BalancesIntegrationTest","io.novafoundation.nova.balances.BalancesIntegrationTest","testFeeLoading[XX network]"
"","1535","testBalancesLoading[Tanssi]","","Mon Sep 22 16:36:51 UTC 2025","passed","Mon Sep 22 16:36:52 UTC 2025","","io.novafoundation.nova.balances.BalancesIntegrationTest","io.novafoundation.nova.balances.BalancesIntegrationTest","testBalancesLoading[Tanssi]"
"","929","testFeeLoading[Moonriver]","","Mon Sep 22 16:28:50 UTC 2025","passed","Mon Sep 22 16:28:51 UTC 2025","","io.novafoundation.nova.balances.BalancesIntegrationTest","io.novafoundation.nova.balances.BalancesIntegrationTest","testFeeLoading[Moonriver]"
"","242","testBalancesLoading[Kusama]","","Mon Sep 22 16:28:36 UTC 2025","passed","Mon Sep 22 16:28:36 UTC 2025","","io.novafoundation.nova.balances.BalancesIntegrationTest","io.novafoundation.nova.balances.BalancesIntegrationTest","testBalancesLoading[Kusama]"
"","2208","testBalancesLoading[Phala]","","Mon Sep 22 16:29:51 UTC 2025","passed","Mon Sep 22 16:29:53 UTC 2025","","io.novafoundation.nova.balances.BalancesIntegrationTest","io.novafoundation.nova.balances.BalancesIntegrationTest","testBalancesLoading[Phala]"
"","2401","testBalancesLoading[Energy Web X]","","Mon Sep 22 16:31:34 UTC 2025","passed","Mon Sep 22 16:31:36 UTC 2025","","io.novafoundation.nova.balances.BalancesIntegrationTest","io.novafoundation.nova.balances.BalancesIntegrationTest","testBalancesLoading[Energy Web X]"
"","1299","testBalancesLoading[Zeitgeist]","","Mon Sep 22 16:33:53 UTC 2025","passed","Mon Sep 22 16:33:54 UTC 2025","","io.novafoundation.nova.balances.BalancesIntegrationTest","io.novafoundation.nova.balances.BalancesIntegrationTest","testBalancesLoading[Zeitgeist]"
"","1268","testBalancesLoading[Aleph Zero Testnet]","","Mon Sep 22 16:30:15 UTC 2025","passed","Mon Sep 22 16:30:16 UTC 2025","","io.novafoundation.nova.balances.BalancesIntegrationTest","io.novafoundation.nova.balances.BalancesIntegrationTest","testBalancesLoading[Aleph Zero Testnet]"
"","997","testFeeLoading[UNIQUE]","","Mon Sep 22 16:30:09 UTC 2025","passed","Mon Sep 22 16:30:10 UTC 2025","","io.novafoundation.nova.balances.BalancesIntegrationTest","io.novafoundation.nova.balances.BalancesIntegrationTest","testFeeLoading[UNIQUE]"
"","2385","testBalancesLoading[Kreivo]","","Mon Sep 22 16:31:49 UTC 2025","passed","Mon Sep 22 16:31:51 UTC 2025","","io.novafoundation.nova.balances.BalancesIntegrationTest","io.novafoundation.nova.balances.BalancesIntegrationTest","testBalancesLoading[Kreivo]"
"","3323","testBalancesLoading[Cere]","","Mon Sep 22 16:31:59 UTC 2025","passed","Mon Sep 22 16:32:02 UTC 2025","","io.novafoundation.nova.balances.BalancesIntegrationTest","io.novafoundation.nova.balances.BalancesIntegrationTest","testBalancesLoading[Cere]"
"","1943","testBalancesLoading[Robonomics]","","Mon Sep 22 16:29:21 UTC 2025","passed","Mon Sep 22 16:29:23 UTC 2025","","io.novafoundation.nova.balances.BalancesIntegrationTest","io.novafoundation.nova.balances.BalancesIntegrationTest","testBalancesLoading[Robonomics]"
"","527","testFeeLoading[Enjin Relay]","","Mon Sep 22 16:31:41 UTC 2025","passed","Mon Sep 22 16:31:42 UTC 2025","","io.novafoundation.nova.balances.BalancesIntegrationTest","io.novafoundation.nova.balances.BalancesIntegrationTest","testFeeLoading[Enjin Relay]"
