"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","119","testBalancesLoading[UNIQUE]","","Sat Jul 05 00:33:27 GMT 2025","passed","Sat Jul 05 00:33:27 GMT 2025","","io.novafoundation.nova.balances.BalancesIntegrationTest","io.novafoundation.nova.balances.BalancesIntegrationTest","testBalancesLoading[UNIQUE]"
"","1579","testBalancesLoading[Energy Web X]","","Sat Jul 05 00:34:21 GMT 2025","passed","Sat Jul 05 00:34:23 GMT 2025","","io.novafoundation.nova.balances.BalancesIntegrationTest","io.novafoundation.nova.balances.BalancesIntegrationTest","testBalancesLoading[Energy Web X]"
"","2858","testBalancesLoading[Bifrost Polkadot]","","Sat Jul 05 00:33:21 GMT 2025","passed","Sat Jul 05 00:33:24 GMT 2025","","io.novafoundation.nova.balances.BalancesIntegrationTest","io.novafoundation.nova.balances.BalancesIntegrationTest","testBalancesLoading[Bifrost Polkadot]"
"","605","testFeeLoading[Kusama People]","","Sat Jul 05 00:34:36 GMT 2025","passed","Sat Jul 05 00:34:37 GMT 2025","","io.novafoundation.nova.balances.BalancesIntegrationTest","io.novafoundation.nova.balances.BalancesIntegrationTest","testFeeLoading[Kusama People]"
"","714","testFeeLoading[Polimec]","","Sat Jul 05 00:34:21 GMT 2025","passed","Sat Jul 05 00:34:21 GMT 2025","","io.novafoundation.nova.balances.BalancesIntegrationTest","io.novafoundation.nova.balances.BalancesIntegrationTest","testFeeLoading[Polimec]"
"","1577","testBalancesLoading[Ternoa]","","Sat Jul 05 00:33:39 GMT 2025","passed","Sat Jul 05 00:33:40 GMT 2025","","io.novafoundation.nova.balances.BalancesIntegrationTest","io.novafoundation.nova.balances.BalancesIntegrationTest","testBalancesLoading[Ternoa]"
"","1337","testBalancesLoading[krest]","","Sat Jul 05 00:34:08 GMT 2025","passed","Sat Jul 05 00:34:09 GMT 2025","","io.novafoundation.nova.balances.BalancesIntegrationTest","io.novafoundation.nova.balances.BalancesIntegrationTest","testBalancesLoading[krest]"
"","1769","testBalancesLoading[Karura]","","Sat Jul 05 00:32:19 GMT 2025","passed","Sat Jul 05 00:32:21 GMT 2025","","io.novafoundation.nova.balances.BalancesIntegrationTest","io.novafoundation.nova.balances.BalancesIntegrationTest","testBalancesLoading[Karura]"
"","728","testFeeLoading[Tangle]","","Sat Jul 05 00:35:04 GMT 2025","passed","Sat Jul 05 00:35:05 GMT 2025","","io.novafoundation.nova.balances.BalancesIntegrationTest","io.novafoundation.nova.balances.BalancesIntegrationTest","testFeeLoading[Tangle]"
"","1562","testFeeLoading[DeepBrain]","","Sat Jul 05 00:35:01 GMT 2025","passed","Sat Jul 05 00:35:03 GMT 2025","","io.novafoundation.nova.balances.BalancesIntegrationTest","io.novafoundation.nova.balances.BalancesIntegrationTest","testFeeLoading[DeepBrain]"
"","242","testFeeLoading[Bittensor]","","Sat Jul 05 00:34:40 GMT 2025","passed","Sat Jul 05 00:34:40 GMT 2025","","io.novafoundation.nova.balances.BalancesIntegrationTest","io.novafoundation.nova.balances.BalancesIntegrationTest","testFeeLoading[Bittensor]"
"","3163","testBalancesLoading[Joystream]","","Sat Jul 05 00:34:15 GMT 2025","passed","Sat Jul 05 00:34:18 GMT 2025","","io.novafoundation.nova.balances.BalancesIntegrationTest","io.novafoundation.nova.balances.BalancesIntegrationTest","testBalancesLoading[Joystream]"
"","1551","testBalancesLoading[Kusama Coretime]","","Sat Jul 05 00:35:07 GMT 2025","passed","Sat Jul 05 00:35:08 GMT 2025","","io.novafoundation.nova.balances.BalancesIntegrationTest","io.novafoundation.nova.balances.BalancesIntegrationTest","testBalancesLoading[Kusama Coretime]"
"","730","testFeeLoading[Joystream]","","Sat Jul 05 00:34:18 GMT 2025","passed","Sat Jul 05 00:34:19 GMT 2025","","io.novafoundation.nova.balances.BalancesIntegrationTest","io.novafoundation.nova.balances.BalancesIntegrationTest","testFeeLoading[Joystream]"
"","1421","testBalancesLoading[Polkadot People]","","Sat Jul 05 00:34:46 GMT 2025","passed","Sat Jul 05 00:34:48 GMT 2025","","io.novafoundation.nova.balances.BalancesIntegrationTest","io.novafoundation.nova.balances.BalancesIntegrationTest","testBalancesLoading[Polkadot People]"
"","3197","testBalancesLoading[Bifrost]","","Sat Jul 05 00:32:25 GMT 2025","passed","Sat Jul 05 00:32:28 GMT 2025","","io.novafoundation.nova.balances.BalancesIntegrationTest","io.novafoundation.nova.balances.BalancesIntegrationTest","testBalancesLoading[Bifrost]"
"","2519","testBalancesLoading[QUARTZ]","","Sat Jul 05 00:32:41 GMT 2025","passed","Sat Jul 05 00:32:43 GMT 2025","","io.novafoundation.nova.balances.BalancesIntegrationTest","io.novafoundation.nova.balances.BalancesIntegrationTest","testBalancesLoading[QUARTZ]"
"","1716","testBalancesLoading[Integritee Parachain]","","Sat Jul 05 00:33:13 GMT 2025","passed","Sat Jul 05 00:33:15 GMT 2025","","io.novafoundation.nova.balances.BalancesIntegrationTest","io.novafoundation.nova.balances.BalancesIntegrationTest","testBalancesLoading[Integritee Parachain]"
