"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1940","testBalancesLoading[DAO IPCI]","","Mon May 12 00:37:38 GMT 2025","passed","Mon May 12 00:37:39 GMT 2025","","io.novafoundation.nova.balances.BalancesIntegrationTest","io.novafoundation.nova.balances.BalancesIntegrationTest","testBalancesLoading[DAO IPCI]"
"","504","testFeeLoading[Enjin Relay]","","Mon May 12 00:38:24 GMT 2025","passed","Mon May 12 00:38:24 GMT 2025","","io.novafoundation.nova.balances.BalancesIntegrationTest","io.novafoundation.nova.balances.BalancesIntegrationTest","testFeeLoading[Enjin Relay]"
"","2320","testBalancesLoading[Integritee Parachain]","","Mon May 12 00:36:58 GMT 2025","passed","Mon May 12 00:37:00 GMT 2025","","io.novafoundation.nova.balances.BalancesIntegrationTest","io.novafoundation.nova.balances.BalancesIntegrationTest","testBalancesLoading[Integritee Parachain]"
"","2210","testBalancesLoading[Moonbase Relay Testnet]","","Mon May 12 00:37:22 GMT 2025","passed","Mon May 12 00:37:24 GMT 2025","","io.novafoundation.nova.balances.BalancesIntegrationTest","io.novafoundation.nova.balances.BalancesIntegrationTest","testBalancesLoading[Moonbase Relay Testnet]"
"","1117","testFeeLoading[JAMTON]","","Mon May 12 00:39:03 GMT 2025","passed","Mon May 12 00:39:04 GMT 2025","","io.novafoundation.nova.balances.BalancesIntegrationTest","io.novafoundation.nova.balances.BalancesIntegrationTest","testFeeLoading[JAMTON]"
"","2270","testBalancesLoading[Statemint]","","Mon May 12 00:37:26 GMT 2025","passed","Mon May 12 00:37:28 GMT 2025","","io.novafoundation.nova.balances.BalancesIntegrationTest","io.novafoundation.nova.balances.BalancesIntegrationTest","testBalancesLoading[Statemint]"
"","1133","testFeeLoading[Polkadot People]","","Mon May 12 00:38:51 GMT 2025","passed","Mon May 12 00:38:52 GMT 2025","","io.novafoundation.nova.balances.BalancesIntegrationTest","io.novafoundation.nova.balances.BalancesIntegrationTest","testFeeLoading[Polkadot People]"
"","820","testBalancesLoading[Crust Polkadot Parachain]","","Mon May 12 00:37:48 GMT 2025","passed","Mon May 12 00:37:49 GMT 2025","","io.novafoundation.nova.balances.BalancesIntegrationTest","io.novafoundation.nova.balances.BalancesIntegrationTest","testBalancesLoading[Crust Polkadot Parachain]"
"","1382","testFeeLoading[Westend]","","Mon May 12 00:33:02 GMT 2025","passed","Mon May 12 00:33:04 GMT 2025","","io.novafoundation.nova.balances.BalancesIntegrationTest","io.novafoundation.nova.balances.BalancesIntegrationTest","testFeeLoading[Westend]"
"","1120","testFeeLoading[Aleph Zero Testnet]","","Mon May 12 00:37:21 GMT 2025","passed","Mon May 12 00:37:22 GMT 2025","","io.novafoundation.nova.balances.BalancesIntegrationTest","io.novafoundation.nova.balances.BalancesIntegrationTest","testFeeLoading[Aleph Zero Testnet]"
"","2056","testBalancesLoading[OriginTrail Parachain]","","Mon May 12 00:37:16 GMT 2025","passed","Mon May 12 00:37:18 GMT 2025","","io.novafoundation.nova.balances.BalancesIntegrationTest","io.novafoundation.nova.balances.BalancesIntegrationTest","testBalancesLoading[OriginTrail Parachain]"
