"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2473","testBalancesLoading[Phala]","","Thu May 29 00:42:01 GMT 2025","passed","Thu May 29 00:42:03 GMT 2025","","io.novafoundation.nova.balances.BalancesIntegrationTest","io.novafoundation.nova.balances.BalancesIntegrationTest","testBalancesLoading[Phala]"
"","1115","testFeeLoading[Kusama People]","","Thu May 29 00:44:29 GMT 2025","passed","Thu May 29 00:44:30 GMT 2025","","io.novafoundation.nova.balances.BalancesIntegrationTest","io.novafoundation.nova.balances.BalancesIntegrationTest","testFeeLoading[Kusama People]"
"","683","testFeeLoading[Kreivo]","","Thu May 29 00:44:24 GMT 2025","passed","Thu May 29 00:44:25 GMT 2025","","io.novafoundation.nova.balances.BalancesIntegrationTest","io.novafoundation.nova.balances.BalancesIntegrationTest","testFeeLoading[Kreivo]"
"","3968","testBalancesLoading[Moonbase Alpha]","","Thu May 29 00:38:49 GMT 2025","passed","Thu May 29 00:38:53 GMT 2025","","io.novafoundation.nova.balances.BalancesIntegrationTest","io.novafoundation.nova.balances.BalancesIntegrationTest","testBalancesLoading[Moonbase Alpha]"
"","2504","testBalancesLoading[JAMTON]","","Thu May 29 00:44:56 GMT 2025","passed","Thu May 29 00:44:58 GMT 2025","","io.novafoundation.nova.balances.BalancesIntegrationTest","io.novafoundation.nova.balances.BalancesIntegrationTest","testBalancesLoading[JAMTON]"
"","2678","testBalancesLoading[DeepBrain]","","Thu May 29 00:45:00 GMT 2025","passed","Thu May 29 00:45:02 GMT 2025","","io.novafoundation.nova.balances.BalancesIntegrationTest","io.novafoundation.nova.balances.BalancesIntegrationTest","testBalancesLoading[DeepBrain]"
"","1156","testFeeLoading[Creditcoin]","","Thu May 29 00:44:50 GMT 2025","passed","Thu May 29 00:44:51 GMT 2025","","io.novafoundation.nova.balances.BalancesIntegrationTest","io.novafoundation.nova.balances.BalancesIntegrationTest","testFeeLoading[Creditcoin]"
"","1420","testBalancesLoading[Pendulum]","","Thu May 29 00:42:55 GMT 2025","passed","Thu May 29 00:42:56 GMT 2025","","io.novafoundation.nova.balances.BalancesIntegrationTest","io.novafoundation.nova.balances.BalancesIntegrationTest","testBalancesLoading[Pendulum]"
"","3382","testBalancesLoading[Altair]","","Thu May 29 00:42:12 GMT 2025","passed","Thu May 29 00:42:16 GMT 2025","","io.novafoundation.nova.balances.BalancesIntegrationTest","io.novafoundation.nova.balances.BalancesIntegrationTest","testBalancesLoading[Altair]"
"","2373","testBalancesLoading[Robonomics]","","Thu May 29 00:38:37 GMT 2025","passed","Thu May 29 00:38:40 GMT 2025","","io.novafoundation.nova.balances.BalancesIntegrationTest","io.novafoundation.nova.balances.BalancesIntegrationTest","testBalancesLoading[Robonomics]"
"","639","testFeeLoading[Moonriver]","","Thu May 29 00:38:15 GMT 2025","passed","Thu May 29 00:38:15 GMT 2025","","io.novafoundation.nova.balances.BalancesIntegrationTest","io.novafoundation.nova.balances.BalancesIntegrationTest","testFeeLoading[Moonriver]"
"","1113","testFeeLoading[Polkadot People]","","Thu May 29 00:44:45 GMT 2025","passed","Thu May 29 00:44:46 GMT 2025","","io.novafoundation.nova.balances.BalancesIntegrationTest","io.novafoundation.nova.balances.BalancesIntegrationTest","testFeeLoading[Polkadot People]"
"","523","testFeeLoading[Acala]","","Thu May 29 00:38:27 GMT 2025","passed","Thu May 29 00:38:27 GMT 2025","","io.novafoundation.nova.balances.BalancesIntegrationTest","io.novafoundation.nova.balances.BalancesIntegrationTest","testFeeLoading[Acala]"
"","3158","testBalancesLoading[Bifrost]","","Thu May 29 00:38:15 GMT 2025","passed","Thu May 29 00:38:19 GMT 2025","","io.novafoundation.nova.balances.BalancesIntegrationTest","io.novafoundation.nova.balances.BalancesIntegrationTest","testBalancesLoading[Bifrost]"
"","1169","testFeeLoading[Aventus]","","Thu May 29 00:42:59 GMT 2025","passed","Thu May 29 00:43:00 GMT 2025","","io.novafoundation.nova.balances.BalancesIntegrationTest","io.novafoundation.nova.balances.BalancesIntegrationTest","testFeeLoading[Aventus]"
"","328","testFeeLoading[Polkadot Coretime]","","Thu May 29 00:45:08 GMT 2025","passed","Thu May 29 00:45:08 GMT 2025","","io.novafoundation.nova.balances.BalancesIntegrationTest","io.novafoundation.nova.balances.BalancesIntegrationTest","testFeeLoading[Polkadot Coretime]"
"","1341","testFeeLoading[XX network]","","Thu May 29 00:42:54 GMT 2025","passed","Thu May 29 00:42:55 GMT 2025","","io.novafoundation.nova.balances.BalancesIntegrationTest","io.novafoundation.nova.balances.BalancesIntegrationTest","testFeeLoading[XX network]"
"","3490","testFeeLoading[Shiden]","","Thu May 29 00:37:53 GMT 2025","passed","Thu May 29 00:37:57 GMT 2025","","io.novafoundation.nova.balances.BalancesIntegrationTest","io.novafoundation.nova.balances.BalancesIntegrationTest","testFeeLoading[Shiden]"
"","572","testFeeLoading[Pendulum]","","Thu May 29 00:42:56 GMT 2025","passed","Thu May 29 00:42:57 GMT 2025","","io.novafoundation.nova.balances.BalancesIntegrationTest","io.novafoundation.nova.balances.BalancesIntegrationTest","testFeeLoading[Pendulum]"
"","817","testFeeLoading[Moonbase Alpha]","","Thu May 29 00:38:53 GMT 2025","passed","Thu May 29 00:38:54 GMT 2025","","io.novafoundation.nova.balances.BalancesIntegrationTest","io.novafoundation.nova.balances.BalancesIntegrationTest","testFeeLoading[Moonbase Alpha]"
"","596","testFeeLoading[Enjin Matrixchain]","","Thu May 29 00:43:59 GMT 2025","passed","Thu May 29 00:43:59 GMT 2025","","io.novafoundation.nova.balances.BalancesIntegrationTest","io.novafoundation.nova.balances.BalancesIntegrationTest","testFeeLoading[Enjin Matrixchain]"
"","237","testBalancesLoading[Polkadot]","","Thu May 29 00:37:57 GMT 2025","passed","Thu May 29 00:37:57 GMT 2025","","io.novafoundation.nova.balances.BalancesIntegrationTest","io.novafoundation.nova.balances.BalancesIntegrationTest","testBalancesLoading[Polkadot]"
"","1186","testFeeLoading[Polkadex Solochain]","","Thu May 29 00:42:11 GMT 2025","passed","Thu May 29 00:42:12 GMT 2025","","io.novafoundation.nova.balances.BalancesIntegrationTest","io.novafoundation.nova.balances.BalancesIntegrationTest","testFeeLoading[Polkadex Solochain]"
"","1142","testFeeLoading[Integritee Parachain]","","Thu May 29 00:42:07 GMT 2025","passed","Thu May 29 00:42:08 GMT 2025","","io.novafoundation.nova.balances.BalancesIntegrationTest","io.novafoundation.nova.balances.BalancesIntegrationTest","testFeeLoading[Integritee Parachain]"
"","2168","testBalancesLoading[Crust Shadow]","","Thu May 29 00:41:47 GMT 2025","passed","Thu May 29 00:41:49 GMT 2025","","io.novafoundation.nova.balances.BalancesIntegrationTest","io.novafoundation.nova.balances.BalancesIntegrationTest","testBalancesLoading[Crust Shadow]"
"","432","testFeeLoading[Encointer]","","Thu May 29 00:38:55 GMT 2025","passed","Thu May 29 00:38:56 GMT 2025","","io.novafoundation.nova.balances.BalancesIntegrationTest","io.novafoundation.nova.balances.BalancesIntegrationTest","testFeeLoading[Encointer]"
