"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2345","testBalancesLoading[Crust Shadow]","","Sun Jan 05 08:23:14 GMT 2025","passed","Sun Jan 05 08:23:17 GMT 2025","","io.novafoundation.nova.balances.BalancesIntegrationTest","io.novafoundation.nova.balances.BalancesIntegrationTest","testBalancesLoading[Crust Shadow]"
"","408","testFeeLoading[GIANT]","","Sun Jan 05 08:24:50 GMT 2025","passed","Sun Jan 05 08:24:51 GMT 2025","","io.novafoundation.nova.balances.BalancesIntegrationTest","io.novafoundation.nova.balances.BalancesIntegrationTest","testFeeLoading[GIANT]"
"","292","testFeeLoading[Imbue]","","Sun Jan 05 08:24:45 GMT 2025","passed","Sun Jan 05 08:24:45 GMT 2025","","io.novafoundation.nova.balances.BalancesIntegrationTest","io.novafoundation.nova.balances.BalancesIntegrationTest","testFeeLoading[Imbue]"
"","2197","testBalancesLoading[Ajuna]","","Sun Jan 05 08:24:40 GMT 2025","passed","Sun Jan 05 08:24:43 GMT 2025","","io.novafoundation.nova.balances.BalancesIntegrationTest","io.novafoundation.nova.balances.BalancesIntegrationTest","testBalancesLoading[Ajuna]"
"","2154","testBalancesLoading[3DPass]","","Sun Jan 05 08:24:37 GMT 2025","passed","Sun Jan 05 08:24:39 GMT 2025","","io.novafoundation.nova.balances.BalancesIntegrationTest","io.novafoundation.nova.balances.BalancesIntegrationTest","testBalancesLoading[3DPass]"
"","1932","testBalancesLoading[Parallel Heiko]","","Sun Jan 05 08:23:37 GMT 2025","passed","Sun Jan 05 08:23:39 GMT 2025","","io.novafoundation.nova.balances.BalancesIntegrationTest","io.novafoundation.nova.balances.BalancesIntegrationTest","testBalancesLoading[Parallel Heiko]"
"","3273","testBalancesLoading[Enjin Relay]","","Sun Jan 05 08:25:20 GMT 2025","passed","Sun Jan 05 08:25:23 GMT 2025","","io.novafoundation.nova.balances.BalancesIntegrationTest","io.novafoundation.nova.balances.BalancesIntegrationTest","testBalancesLoading[Enjin Relay]"
"","1930","testBalancesLoading[Energy Web X]","","Sun Jan 05 08:25:10 GMT 2025","passed","Sun Jan 05 08:25:12 GMT 2025","","io.novafoundation.nova.balances.BalancesIntegrationTest","io.novafoundation.nova.balances.BalancesIntegrationTest","testBalancesLoading[Energy Web X]"
"","1179","testBalancesLoading[Zeitgeist]","","Sun Jan 05 08:23:04 GMT 2025","passed","Sun Jan 05 08:23:05 GMT 2025","","io.novafoundation.nova.balances.BalancesIntegrationTest","io.novafoundation.nova.balances.BalancesIntegrationTest","testBalancesLoading[Zeitgeist]"
"","821","testBalancesLoading[Myriad]","","Sun Jan 05 08:24:25 GMT 2025","passed","Sun Jan 05 08:24:26 GMT 2025","","io.novafoundation.nova.balances.BalancesIntegrationTest","io.novafoundation.nova.balances.BalancesIntegrationTest","testBalancesLoading[Myriad]"
"","418","testFeeLoading[Kreivo]","","Sun Jan 05 08:25:31 GMT 2025","passed","Sun Jan 05 08:25:31 GMT 2025","","io.novafoundation.nova.balances.BalancesIntegrationTest","io.novafoundation.nova.balances.BalancesIntegrationTest","testFeeLoading[Kreivo]"
"","1022","testFeeLoading[Westmint]","","Sun Jan 05 08:23:08 GMT 2025","passed","Sun Jan 05 08:23:09 GMT 2025","","io.novafoundation.nova.balances.BalancesIntegrationTest","io.novafoundation.nova.balances.BalancesIntegrationTest","testFeeLoading[Westmint]"
"","1468","testFeeLoading[Continuum]","","Sun Jan 05 08:25:18 GMT 2025","passed","Sun Jan 05 08:25:19 GMT 2025","","io.novafoundation.nova.balances.BalancesIntegrationTest","io.novafoundation.nova.balances.BalancesIntegrationTest","testFeeLoading[Continuum]"
"","966","testFeeLoading[DENTNet]","","Sun Jan 05 08:28:37 GMT 2025","passed","Sun Jan 05 08:28:38 GMT 2025","","io.novafoundation.nova.balances.BalancesIntegrationTest","io.novafoundation.nova.balances.BalancesIntegrationTest","testFeeLoading[DENTNet]"
"","1022","testFeeLoading[Moonbase Relay Testnet]","","Sun Jan 05 08:24:03 GMT 2025","passed","Sun Jan 05 08:24:04 GMT 2025","","io.novafoundation.nova.balances.BalancesIntegrationTest","io.novafoundation.nova.balances.BalancesIntegrationTest","testFeeLoading[Moonbase Relay Testnet]"
"","324","testFeeLoading[CC Enterprise]","","Sun Jan 05 08:28:41 GMT 2025","passed","Sun Jan 05 08:28:41 GMT 2025","","io.novafoundation.nova.balances.BalancesIntegrationTest","io.novafoundation.nova.balances.BalancesIntegrationTest","testFeeLoading[CC Enterprise]"
"","1844","testBalancesLoading[Xode]","","Sun Jan 05 08:28:47 GMT 2025","passed","Sun Jan 05 08:28:49 GMT 2025","","io.novafoundation.nova.balances.BalancesIntegrationTest","io.novafoundation.nova.balances.BalancesIntegrationTest","testBalancesLoading[Xode]"
"","2111","testBalancesLoading[Integritee Parachain]","","Sun Jan 05 08:23:30 GMT 2025","passed","Sun Jan 05 08:23:32 GMT 2025","","io.novafoundation.nova.balances.BalancesIntegrationTest","io.novafoundation.nova.balances.BalancesIntegrationTest","testBalancesLoading[Integritee Parachain]"
"","911","testBalancesLoading[QUARTZ]","","Sun Jan 05 08:22:50 GMT 2025","passed","Sun Jan 05 08:22:50 GMT 2025","","io.novafoundation.nova.balances.BalancesIntegrationTest","io.novafoundation.nova.balances.BalancesIntegrationTest","testBalancesLoading[QUARTZ]"
"","869","testFeeLoading[Ternoa]","","Sun Jan 05 08:24:19 GMT 2025","passed","Sun Jan 05 08:24:20 GMT 2025","","io.novafoundation.nova.balances.BalancesIntegrationTest","io.novafoundation.nova.balances.BalancesIntegrationTest","testFeeLoading[Ternoa]"
"","3627","testBalancesLoading[Bifrost Polkadot]","","Sun Jan 05 08:23:46 GMT 2025","passed","Sun Jan 05 08:23:49 GMT 2025","","io.novafoundation.nova.balances.BalancesIntegrationTest","io.novafoundation.nova.balances.BalancesIntegrationTest","testBalancesLoading[Bifrost Polkadot]"
"","2086","testBalancesLoading[Phala]","","Sun Jan 05 08:23:25 GMT 2025","passed","Sun Jan 05 08:23:27 GMT 2025","","io.novafoundation.nova.balances.BalancesIntegrationTest","io.novafoundation.nova.balances.BalancesIntegrationTest","testBalancesLoading[Phala]"
"","936","testFeeLoading[Cere]","","Sun Jan 05 08:25:40 GMT 2025","passed","Sun Jan 05 08:25:41 GMT 2025","","io.novafoundation.nova.balances.BalancesIntegrationTest","io.novafoundation.nova.balances.BalancesIntegrationTest","testFeeLoading[Cere]"
"","1262","testFeeLoading[Bifrost]","","Sun Jan 05 08:22:22 GMT 2025","passed","Sun Jan 05 08:22:23 GMT 2025","","io.novafoundation.nova.balances.BalancesIntegrationTest","io.novafoundation.nova.balances.BalancesIntegrationTest","testFeeLoading[Bifrost]"
"","1246","testBalancesLoading[Nodle Parachain]","","Sun Jan 05 08:23:23 GMT 2025","passed","Sun Jan 05 08:23:25 GMT 2025","","io.novafoundation.nova.balances.BalancesIntegrationTest","io.novafoundation.nova.balances.BalancesIntegrationTest","testBalancesLoading[Nodle Parachain]"
"","1056","testFeeLoading[Kusama]","","Sun Jan 05 08:22:01 GMT 2025","passed","Sun Jan 05 08:22:02 GMT 2025","","io.novafoundation.nova.balances.BalancesIntegrationTest","io.novafoundation.nova.balances.BalancesIntegrationTest","testFeeLoading[Kusama]"
"","1033","testBalancesLoading[UNIQUE]","","Sun Jan 05 08:23:54 GMT 2025","passed","Sun Jan 05 08:23:55 GMT 2025","","io.novafoundation.nova.balances.BalancesIntegrationTest","io.novafoundation.nova.balances.BalancesIntegrationTest","testBalancesLoading[UNIQUE]"
"","2240","testBalancesLoading[Moonbase Relay Testnet]","","Sun Jan 05 08:24:01 GMT 2025","passed","Sun Jan 05 08:24:03 GMT 2025","","io.novafoundation.nova.balances.BalancesIntegrationTest","io.novafoundation.nova.balances.BalancesIntegrationTest","testBalancesLoading[Moonbase Relay Testnet]"
