"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1986","testBalancesLoading[Acurast Canary]","","Wed Jun 25 16:31:27 GMT 2025","passed","Wed Jun 25 16:31:29 GMT 2025","","io.novafoundation.nova.balances.BalancesIntegrationTest","io.novafoundation.nova.balances.BalancesIntegrationTest","testBalancesLoading[Acurast Canary]"
"","2795","testBalancesLoading[krest]","","Wed Jun 25 16:30:57 GMT 2025","passed","Wed Jun 25 16:31:00 GMT 2025","","io.novafoundation.nova.balances.BalancesIntegrationTest","io.novafoundation.nova.balances.BalancesIntegrationTest","testBalancesLoading[krest]"
"","1895","testBalancesLoading[Moonbeam]","","Wed Jun 25 16:28:53 GMT 2025","passed","Wed Jun 25 16:28:54 GMT 2025","","io.novafoundation.nova.balances.BalancesIntegrationTest","io.novafoundation.nova.balances.BalancesIntegrationTest","testBalancesLoading[Moonbeam]"
"","233","testFeeLoading[KILT Spiritnet]","","Wed Jun 25 16:29:07 GMT 2025","passed","Wed Jun 25 16:29:07 GMT 2025","","io.novafoundation.nova.balances.BalancesIntegrationTest","io.novafoundation.nova.balances.BalancesIntegrationTest","testFeeLoading[KILT Spiritnet]"
"","711","testFeeLoading[Karura]","","Wed Jun 25 16:28:52 GMT 2025","passed","Wed Jun 25 16:28:53 GMT 2025","","io.novafoundation.nova.balances.BalancesIntegrationTest","io.novafoundation.nova.balances.BalancesIntegrationTest","testFeeLoading[Karura]"
"","3062","testBalancesLoading[Xode]","","Wed Jun 25 16:32:22 GMT 2025","passed","Wed Jun 25 16:32:25 GMT 2025","","io.novafoundation.nova.balances.BalancesIntegrationTest","io.novafoundation.nova.balances.BalancesIntegrationTest","testBalancesLoading[Xode]"
"","605","testFeeLoading[Creditcoin]","","Wed Jun 25 16:31:55 GMT 2025","passed","Wed Jun 25 16:31:56 GMT 2025","","io.novafoundation.nova.balances.BalancesIntegrationTest","io.novafoundation.nova.balances.BalancesIntegrationTest","testFeeLoading[Creditcoin]"
"","2833","testBalancesLoading[Argochain]","","Wed Jun 25 16:32:26 GMT 2025","passed","Wed Jun 25 16:32:29 GMT 2025","","io.novafoundation.nova.balances.BalancesIntegrationTest","io.novafoundation.nova.balances.BalancesIntegrationTest","testBalancesLoading[Argochain]"
"","1259","testBalancesLoading[Frequency]","","Wed Jun 25 16:30:47 GMT 2025","passed","Wed Jun 25 16:30:49 GMT 2025","","io.novafoundation.nova.balances.BalancesIntegrationTest","io.novafoundation.nova.balances.BalancesIntegrationTest","testBalancesLoading[Frequency]"
"","313","testBalancesLoading[Kusama]","","Wed Jun 25 16:28:43 GMT 2025","passed","Wed Jun 25 16:28:43 GMT 2025","","io.novafoundation.nova.balances.BalancesIntegrationTest","io.novafoundation.nova.balances.BalancesIntegrationTest","testBalancesLoading[Kusama]"
"","2587","testBalancesLoading[Kreivo]","","Wed Jun 25 16:31:29 GMT 2025","passed","Wed Jun 25 16:31:32 GMT 2025","","io.novafoundation.nova.balances.BalancesIntegrationTest","io.novafoundation.nova.balances.BalancesIntegrationTest","testBalancesLoading[Kreivo]"
"","827","testFeeLoading[Basilisk]","","Wed Jun 25 16:29:17 GMT 2025","passed","Wed Jun 25 16:29:18 GMT 2025","","io.novafoundation.nova.balances.BalancesIntegrationTest","io.novafoundation.nova.balances.BalancesIntegrationTest","testFeeLoading[Basilisk]"
"","261","testFeeLoading[Bifrost Polkadot]","","Wed Jun 25 16:30:03 GMT 2025","passed","Wed Jun 25 16:30:03 GMT 2025","","io.novafoundation.nova.balances.BalancesIntegrationTest","io.novafoundation.nova.balances.BalancesIntegrationTest","testFeeLoading[Bifrost Polkadot]"
"","922","testFeeLoading[Energy Web X]","","Wed Jun 25 16:31:21 GMT 2025","passed","Wed Jun 25 16:31:22 GMT 2025","","io.novafoundation.nova.balances.BalancesIntegrationTest","io.novafoundation.nova.balances.BalancesIntegrationTest","testFeeLoading[Energy Web X]"
"","2850","testBalancesLoading[Joystream]","","Wed Jun 25 16:31:11 GMT 2025","passed","Wed Jun 25 16:31:14 GMT 2025","","io.novafoundation.nova.balances.BalancesIntegrationTest","io.novafoundation.nova.balances.BalancesIntegrationTest","testBalancesLoading[Joystream]"
"","1301","testBalancesLoading[Edgeware]","","Wed Jun 25 16:29:04 GMT 2025","passed","Wed Jun 25 16:29:05 GMT 2025","","io.novafoundation.nova.balances.BalancesIntegrationTest","io.novafoundation.nova.balances.BalancesIntegrationTest","testBalancesLoading[Edgeware]"
"","1874","testBalancesLoading[Creditcoin]","","Wed Jun 25 16:31:53 GMT 2025","passed","Wed Jun 25 16:31:55 GMT 2025","","io.novafoundation.nova.balances.BalancesIntegrationTest","io.novafoundation.nova.balances.BalancesIntegrationTest","testBalancesLoading[Creditcoin]"
"","2224","testBalancesLoading[Polkadex Solochain]","","Wed Jun 25 16:29:55 GMT 2025","passed","Wed Jun 25 16:29:58 GMT 2025","","io.novafoundation.nova.balances.BalancesIntegrationTest","io.novafoundation.nova.balances.BalancesIntegrationTest","testBalancesLoading[Polkadex Solochain]"
"","1587","testBalancesLoading[OriginTrail Parachain]","","Wed Jun 25 16:30:07 GMT 2025","passed","Wed Jun 25 16:30:08 GMT 2025","","io.novafoundation.nova.balances.BalancesIntegrationTest","io.novafoundation.nova.balances.BalancesIntegrationTest","testBalancesLoading[OriginTrail Parachain]"
"","3535","testBalancesLoading[Manta]","","Wed Jun 25 16:31:01 GMT 2025","passed","Wed Jun 25 16:31:04 GMT 2025","","io.novafoundation.nova.balances.BalancesIntegrationTest","io.novafoundation.nova.balances.BalancesIntegrationTest","testBalancesLoading[Manta]"
"","548","testFeeLoading[Polkadot Bridge Hub]","","Wed Jun 25 16:31:10 GMT 2025","passed","Wed Jun 25 16:31:11 GMT 2025","","io.novafoundation.nova.balances.BalancesIntegrationTest","io.novafoundation.nova.balances.BalancesIntegrationTest","testFeeLoading[Polkadot Bridge Hub]"
"","690","testFeeLoading[Polkadot People]","","Wed Jun 25 16:31:49 GMT 2025","passed","Wed Jun 25 16:31:50 GMT 2025","","io.novafoundation.nova.balances.BalancesIntegrationTest","io.novafoundation.nova.balances.BalancesIntegrationTest","testFeeLoading[Polkadot People]"
