"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","975","testFeeLoading[Ajuna]","","Thu Jun 12 00:37:17 GMT 2025","passed","Thu Jun 12 00:37:18 GMT 2025","","io.novafoundation.nova.balances.BalancesIntegrationTest","io.novafoundation.nova.balances.BalancesIntegrationTest","testFeeLoading[Ajuna]"
"","3390","testBalancesLoading[Bifrost]","","Thu Jun 12 00:34:58 GMT 2025","passed","Thu Jun 12 00:35:02 GMT 2025","","io.novafoundation.nova.balances.BalancesIntegrationTest","io.novafoundation.nova.balances.BalancesIntegrationTest","testBalancesLoading[Bifrost]"
"","2065","testFeeLoading[Shiden]","","Thu Jun 12 00:34:35 GMT 2025","passed","Thu Jun 12 00:34:38 GMT 2025","","io.novafoundation.nova.balances.BalancesIntegrationTest","io.novafoundation.nova.balances.BalancesIntegrationTest","testFeeLoading[Shiden]"
"","1277","testFeeLoading[Xode]","","Thu Jun 12 00:40:21 GMT 2025","passed","Thu Jun 12 00:40:22 GMT 2025","","io.novafoundation.nova.balances.BalancesIntegrationTest","io.novafoundation.nova.balances.BalancesIntegrationTest","testFeeLoading[Xode]"
"","1606","testBalancesLoading[Kusama People]","","Thu Jun 12 00:38:07 GMT 2025","passed","Thu Jun 12 00:38:09 GMT 2025","","io.novafoundation.nova.balances.BalancesIntegrationTest","io.novafoundation.nova.balances.BalancesIntegrationTest","testBalancesLoading[Kusama People]"
"","140","testFeeLoading[Zeitgeist]","","Thu Jun 12 00:40:18 GMT 2025","passed","Thu Jun 12 00:40:19 GMT 2025","","io.novafoundation.nova.balances.BalancesIntegrationTest","io.novafoundation.nova.balances.BalancesIntegrationTest","testFeeLoading[Zeitgeist]"
"","3378","testBalancesLoading[Manta]","","Thu Jun 12 00:37:34 GMT 2025","passed","Thu Jun 12 00:37:37 GMT 2025","","io.novafoundation.nova.balances.BalancesIntegrationTest","io.novafoundation.nova.balances.BalancesIntegrationTest","testBalancesLoading[Manta]"
"","5117","testBalancesLoading[Astar]","","Thu Jun 12 00:35:12 GMT 2025","passed","Thu Jun 12 00:35:17 GMT 2025","","io.novafoundation.nova.balances.BalancesIntegrationTest","io.novafoundation.nova.balances.BalancesIntegrationTest","testBalancesLoading[Astar]"
"","488","testFeeLoading[Vara]","","Thu Jun 12 00:37:23 GMT 2025","passed","Thu Jun 12 00:37:24 GMT 2025","","io.novafoundation.nova.balances.BalancesIntegrationTest","io.novafoundation.nova.balances.BalancesIntegrationTest","testFeeLoading[Vara]"
"","1088","testFeeLoading[Phala]","","Thu Jun 12 00:36:06 GMT 2025","passed","Thu Jun 12 00:36:07 GMT 2025","","io.novafoundation.nova.balances.BalancesIntegrationTest","io.novafoundation.nova.balances.BalancesIntegrationTest","testFeeLoading[Phala]"
"","282","testFeeLoading[Enjin Relay]","","Thu Jun 12 00:37:58 GMT 2025","passed","Thu Jun 12 00:37:58 GMT 2025","","io.novafoundation.nova.balances.BalancesIntegrationTest","io.novafoundation.nova.balances.BalancesIntegrationTest","testFeeLoading[Enjin Relay]"
"","1983","testBalancesLoading[Bifrost Polkadot]","","Thu Jun 12 00:36:19 GMT 2025","passed","Thu Jun 12 00:36:21 GMT 2025","","io.novafoundation.nova.balances.BalancesIntegrationTest","io.novafoundation.nova.balances.BalancesIntegrationTest","testBalancesLoading[Bifrost Polkadot]"
"","1356","testBalancesLoading[Creditcoin]","","Thu Jun 12 00:38:23 GMT 2025","passed","Thu Jun 12 00:38:25 GMT 2025","","io.novafoundation.nova.balances.BalancesIntegrationTest","io.novafoundation.nova.balances.BalancesIntegrationTest","testBalancesLoading[Creditcoin]"
"","628","testFeeLoading[Cere]","","Thu Jun 12 00:38:12 GMT 2025","passed","Thu Jun 12 00:38:12 GMT 2025","","io.novafoundation.nova.balances.BalancesIntegrationTest","io.novafoundation.nova.balances.BalancesIntegrationTest","testFeeLoading[Cere]"
"","656","testFeeLoading[Moonbase Relay Testnet]","","Thu Jun 12 00:36:32 GMT 2025","passed","Thu Jun 12 00:36:32 GMT 2025","","io.novafoundation.nova.balances.BalancesIntegrationTest","io.novafoundation.nova.balances.BalancesIntegrationTest","testFeeLoading[Moonbase Relay Testnet]"
"","505","testFeeLoading[Acala]","","Thu Jun 12 00:35:12 GMT 2025","passed","Thu Jun 12 00:35:12 GMT 2025","","io.novafoundation.nova.balances.BalancesIntegrationTest","io.novafoundation.nova.balances.BalancesIntegrationTest","testFeeLoading[Acala]"
"","1489","testFeeLoading[Westmint]","","Thu Jun 12 00:35:44 GMT 2025","passed","Thu Jun 12 00:35:46 GMT 2025","","io.novafoundation.nova.balances.BalancesIntegrationTest","io.novafoundation.nova.balances.BalancesIntegrationTest","testFeeLoading[Westmint]"
"","891","testFeeLoading[Polimec]","","Thu Jun 12 00:37:48 GMT 2025","passed","Thu Jun 12 00:37:49 GMT 2025","","io.novafoundation.nova.balances.BalancesIntegrationTest","io.novafoundation.nova.balances.BalancesIntegrationTest","testFeeLoading[Polimec]"
"","1260","testFeeLoading[Basilisk]","","Thu Jun 12 00:35:26 GMT 2025","passed","Thu Jun 12 00:35:27 GMT 2025","","io.novafoundation.nova.balances.BalancesIntegrationTest","io.novafoundation.nova.balances.BalancesIntegrationTest","testFeeLoading[Basilisk]"
"","1056","testFeeLoading[JAMTON]","","Thu Jun 12 00:38:32 GMT 2025","passed","Thu Jun 12 00:38:33 GMT 2025","","io.novafoundation.nova.balances.BalancesIntegrationTest","io.novafoundation.nova.balances.BalancesIntegrationTest","testFeeLoading[JAMTON]"
"","768","testFeeLoading[Acurast Canary]","","Thu Jun 12 00:38:03 GMT 2025","passed","Thu Jun 12 00:38:04 GMT 2025","","io.novafoundation.nova.balances.BalancesIntegrationTest","io.novafoundation.nova.balances.BalancesIntegrationTest","testFeeLoading[Acurast Canary]"
"","4732","testBalancesLoading[Moonbeam]","","Thu Jun 12 00:34:51 GMT 2025","passed","Thu Jun 12 00:34:55 GMT 2025","","io.novafoundation.nova.balances.BalancesIntegrationTest","io.novafoundation.nova.balances.BalancesIntegrationTest","testBalancesLoading[Moonbeam]"
"","776","testFeeLoading[Polkadot People]","","Thu Jun 12 00:38:21 GMT 2025","passed","Thu Jun 12 00:38:21 GMT 2025","","io.novafoundation.nova.balances.BalancesIntegrationTest","io.novafoundation.nova.balances.BalancesIntegrationTest","testFeeLoading[Polkadot People]"
"","2816","testBalancesLoading[Aventus]","","Thu Jun 12 00:36:54 GMT 2025","passed","Thu Jun 12 00:36:57 GMT 2025","","io.novafoundation.nova.balances.BalancesIntegrationTest","io.novafoundation.nova.balances.BalancesIntegrationTest","testBalancesLoading[Aventus]"
"","1915","testBalancesLoading[Amplitude]","","Thu Jun 12 00:36:36 GMT 2025","passed","Thu Jun 12 00:36:38 GMT 2025","","io.novafoundation.nova.balances.BalancesIntegrationTest","io.novafoundation.nova.balances.BalancesIntegrationTest","testBalancesLoading[Amplitude]"
"","1082","testBalancesLoading[Hyperbridge Nexus]","","Thu Jun 12 00:38:06 GMT 2025","passed","Thu Jun 12 00:38:07 GMT 2025","","io.novafoundation.nova.balances.BalancesIntegrationTest","io.novafoundation.nova.balances.BalancesIntegrationTest","testBalancesLoading[Hyperbridge Nexus]"
"","326","testFeeLoading[Hyperbridge Nexus]","","Thu Jun 12 00:38:07 GMT 2025","passed","Thu Jun 12 00:38:07 GMT 2025","","io.novafoundation.nova.balances.BalancesIntegrationTest","io.novafoundation.nova.balances.BalancesIntegrationTest","testFeeLoading[Hyperbridge Nexus]"
"","2919","testBalancesLoading[Vara]","","Thu Jun 12 00:37:20 GMT 2025","passed","Thu Jun 12 00:37:23 GMT 2025","","io.novafoundation.nova.balances.BalancesIntegrationTest","io.novafoundation.nova.balances.BalancesIntegrationTest","testBalancesLoading[Vara]"
